Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Kuwait,KWT,..,131160.3378,102106.7647,92692.24294,90914.21525,90447.39398,93131.3236,92549.16378,87405.50101,81036.90973,78380.22864,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Kyrgyz Republic,KGZ,..,8563.104653,14841.1749,15900.71356,15763.71751,16229.08793,15305.21795,15294.63374,16240.3112,17780.31563,18782.88983,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Lao PDR,LAO,..,8438.628752,18038.81982,19048.41861,19370.09744,19562.92498,19029.64915,18580.86832,18166.65899,18488.94366,18893.05121,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Latvia,LVA,..,36696.73169,68654.11043,70601.6924,72655.90849,73185.29698,72011.4662,79090.39583,79009.00006,77515.04832,78505.01863,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Lebanon,LBN,..,42085.72634,49360.60247,51281.59457,51955.66444,50086.97954,42173.3708,40326.46635,40846.15068,39997.74209,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Lesotho,LSO,..,5270.390267,9349.032499,9141.988083,9088.293393,9051.900383,8417.678745,8506.299386,8309.29393,8298.796063,8393.500493,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Liberia,LBR,..,4341.942929,3840.433592,3850.970472,3809.896575,3630.820153,3500.297825,3551.372297,3564.995734,3620.922785,3659.754957,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Libya,LBY,..,69372.02115,43090.80147,55683.07002,58775.65879,51362.80427,39107.28207,48825.94163,40701.27041,43924.10569,44389.98835,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,Lithuania,LTU,..,38941.57735,77299.38576,80902.19252,83594.76558,87179.73205,88533.64975,93378.02296,93059.66103,92573.93474,94075.17814,..
